ID,Date,time,cond,condcolor,percentTrialsStay,practiceblock,cannon,driftConc,block,trial,StaySwitch,TAC,hit,angmu,outcome,pred,prev_placementAngle,predT,cannonballs_caught,cannonballs_missed,accPerf,angleup,angledown,outcomeindex,UP,distmean,allASS,blockearnings,picture.wall.stimulusonset.1,shape.responsearea.stimulusonset.1,picture.cannonball.stimulusonset.1,picture.shield_center.stimulusonset.1,picture.shield.stimulusonset.1,shieldsize,total_trialnum,perf,predErr,distMean,catch_miss,changepoint,cond_num,cBal,Irreg,sex,age,oddballProb,predErrMin,predErrNorm,predErrPlus,actRew,rew,UPMin,UPNorm,UPPlus,catchTrial,sigma,oddBall,cp
5,2021-10-07,11:58:53,CHANGEPOINT,BLUE,0.86,6,2,18.775,1,35,1,0,0,205.60073140207695,197.5149446866146,159.41073983949207,192.464932842065,778,9,2,5.5,172.41073983949207,146.41073983949207,6,33.05419300257293,0,26,2,0,3,0,3,0,26,35,0,38.10420484712253,46.18999156258488,miss,35,2,2,NA,NA,NA,0.14,NA,NA,NA,0,0.5,0,0,0,0,18.775,NA,1
5,2021-10-07,11:58:53,CHANGEPOINT,BLUE,0.86,6,2,18.775,1,36,0,1,1,205.60073140207695,223.09475440354547,207.1745577537532,159.41073983949207,443,10,2,5.5,231.6745577537532,182.6745577537532,5,47.763817914261125,0,49,2,0,4,0,4,0,49,36,0.5,15.920196649792274,1.5738263516762458,hit,NA,2,2,NA,NA,NA,0.14,NA,NA,NA,0.5,0.5,0,0,0,0,18.775,NA,0
5,2021-10-07,11:58:53,CHANGEPOINT,BLUE,0.86,6,2,18.775,1,37,0,2,0,205.60073140207695,184.51659901475082,236.77637356291282,207.1745577537532,339,10,3,5.5,243.77637356291282,229.77637356291282,6,29.601815809159632,0,14,2,0,3,0,3,0,14,37,0,52.259774548162,31.175642160835878,miss,NA,2,2,NA,NA,NA,0.14,NA,NA,NA,0,0.5,0,0,0,0,18.775,NA,0
5,2021-10-07,11:58:53,CHANGEPOINT,BLUE,0.86,6,2,18.775,1,38,0,3,1,205.60073140207695,187.8534061009291,177.83892051177367,236.77637356291282,212,11,3,5.5,196.33892051177367,159.33892051177367,5,58.93745305113916,0,37,2,0,4,0,4,0,37,38,0.5,10.014485589155441,27.76181089030328,hit,NA,2,2,NA,NA,NA,0.14,NA,NA,NA,0.5,0.5,0,0,0,0,18.775,NA,0
5,2021-10-07,11:58:53,CHANGEPOINT,BLUE,0.86,6,2,18.775,1,39,0,4,0,205.60073140207695,222.51394979411697,196.02029230207123,177.83892051177367,587,11,0,5.5,207.52029230207123,184.52029230207123,6,18.18137179029756,0,23,2,0,4,0,4,0,23,39,0,26.49365749204574,9.58043910000572,miss,NA,2,2,NA,NA,NA,0.14,NA,NA,NA,0,0.5,0,0,0,0,18.775,NA,0
5,2021-10-07,11:58:53,CHANGEPOINT,BLUE,0.86,6,2,18.775,1,40,0,5,0,205.60073140207695,210.34800983104046,230.97670238291713,196.02029230207123,509,11,1,5.5,250.97670238291713,210.97670238291713,6,34.9564100808459,0,40,2,0,3,0,4,0,40,40,0,20.628692551876668,25.37597098084018,miss,NA,2,2,NA,NA,NA,0.14,NA,NA,NA,0,0.5,0,0,0,0,18.775,NA,0
5,2021-10-07,11:58:53,CHANGEPOINT,BLUE,0.86,6,2,18.775,1,41,0,6,1,205.60073140207695,204.14454154926688,195.03781590358224,230.97670238291713,307,12,1,5.5,207.03781590358224,183.03781590358224,5,35.93888647933488,0,24,2,0,4,0,4,0,24,41,0.5,9.106725645684634,10.562915498494704,hit,NA,2,2,NA,NA,NA,0.14,NA,NA,NA,0.5,0.5,0,0,0,0,18.775,NA,0
5,2021-10-07,11:58:53,CHANGEPOINT,BLUE,0.86,6,2,18.775,1,42,1,0,0,254.10005889229944,273.16760855644594,204.39675892658266,195.03781590358224,386,12,2,5.5,214.89675892658266,193.89675892658266,6,9.358943023000421,0,21,2,0,3,0,4,0,21,42,0,68.77084962986328,49.70329996571678,miss,42,2,2,NA,NA,NA,0.14,NA,NA,NA,0,0.5,0,0,0,0,18.775,NA,1
5,2021-10-07,11:58:53,CHANGEPOINT,BLUE,0.86,6,2,18.775,1,43,0,1,0,254.10005889229944,242.21696794848447,278.05182948001703,204.39675892658266,42,12,3,5.5,302.05182948001703,254.05182948001703,6,73.65507055343437,0,48,2,0,3,0,3,0,48,43,0,35.83486153153257,23.95177058771759,miss,NA,2,2,NA,NA,NA,0.14,NA,NA,NA,0,0.5,0,0,0,0,18.775,NA,0
5,2021-10-07,11:58:53,CHANGEPOINT,BLUE,0.86,6,2,18.775,1,44,0,2,0,254.10005889229944,246.98553993598944,228.41359827477186,278.05182948001703,287,12,0,5.5,239.91359827477186,216.91359827477186,6,49.63823120524518,0,23,2,0,0,0,4,0,23,44,0,18.57194166121758,25.686460617527587,miss,NA,2,2,NA,NA,NA,0.14,NA,NA,NA,0,0.5,0,0,0,0,18.775,NA,0
5,2021-10-07,11:58:53,CHANGEPOINT,BLUE,0.86,6,2,18.775,1,45,1,0,0,239.21271935086992,230.91639844971172,246.2092261342228,228.41359827477186,383,12,1,5.5,252.2092261342228,240.2092261342228,6,17.795627859450946,0,12,2,0,3,0,4,0,12,45,0,15.292827684511082,6.996506783352885,miss,45,2,2,NA,NA,NA,0.14,NA,NA,NA,0,0.5,0,0,0,0,18.775,NA,1
5,2021-10-07,11:58:53,CHANGEPOINT,BLUE,0.86,6,2,18.775,1,46,0,1,1,239.21271935086992,230.2529966003,223.5830788255043,246.2092261342228,327,13,1,5.5,234.5830788255043,212.5830788255043,5,22.626147308718515,0,22,2,0,3,0,4,0,22,46,0.5,6.669917774795721,15.62964052536563,hit,NA,2,2,NA,NA,NA,0.14,NA,NA,NA,0.5,0.5,0,0,0,0,18.775,NA,0
5,2021-10-07,11:58:53,CHANGEPOINT,BLUE,0.86,6,2,18.775,1,47,0,2,0,239.21271935086992,245.79800342766586,222.51044707800082,223.5830788255043,1406,13,2,5.5,245.51044707800082,199.51044707800082,6,1.0726317475034648,0,46,2,0,3,0,3,0,46,47,0,23.28755634966504,16.702272272869095,miss,NA,2,2,NA,NA,NA,0.14,NA,NA,NA,0,0.5,0,0,0,0,18.775,NA,0
5,2021-10-07,11:58:53,CHANGEPOINT,BLUE,0.86,6,2,18.775,1,48,0,3,0,239.21271935086992,213.07852284027888,252.83405394055083,222.51044707800082,779,13,3,5.5,256.3340539405508,249.33405394055083,6,30.323606862550008,0,7,2,0,4,0,4,0,7,48,0,39.75553110027195,13.621334589680913,miss,NA,2,2,NA,NA,NA,0.14,NA,NA,NA,0,0.5,0,0,0,0,18.775,NA,0
5,2021-10-07,11:58:53,CHANGEPOINT,BLUE,0.86,6,2,18.775,1,49,0,4,0,239.21271935086992,219.55299074567844,194.58516827274298,252.83405394055083,792,13,0,5.5,201.08516827274298,188.08516827274298,6,58.248885667807855,0,13,2,0,4,0,4,0,13,49,0,24.967822472935467,44.62755107812694,miss,NA,2,2,NA,NA,NA,0.14,NA,NA,NA,0,0.5,0,0,0,0,18.775,NA,0
5,2021-10-07,11:58:53,CHANGEPOINT,BLUE,0.86,6,2,18.775,1,50,0,5,1,239.21271935086992,225.61475031385598,239.74356283647074,194.58516827274298,271,14,0,5.5,257.74356283647074,221.74356283647074,5,45.15839456372777,0,36,2,0,3,0,4,0,36,50,0.5,14.128812522614766,0.5308434856008262,hit,NA,2,2,NA,NA,NA,0.14,NA,NA,NA,0.5,0.5,0,0,0,0,18.775,NA,0
5,2021-10-07,11:58:53,CHANGEPOINT,BLUE,0.86,6,2,18.775,1,51,0,6,0,239.21271935086992,243.2655031620581,206.56505117707798,239.74356283647074,269,14,1,5.5,214.56505117707798,198.56505117707798,6,33.17851165939277,0,16,2,0,3,0,5,0,16,51,0,36.700451984980134,32.64766817379194,miss,NA,2,2,NA,NA,NA,0.14,NA,NA,NA,0,0.5,0,0,0,0,18.775,NA,0
5,2021-10-07,11:58:53,CHANGEPOINT,BLUE,0.86,6,2,18.775,1,52,1,0,0,138.69545943539018,147.98556311141388,241.68026583802884,206.56505117707798,269,14,2,5.5,257.68026583802884,225.68026583802884,6,35.11521466095087,0,32,2,0,3,0,4,0,32,52,0,93.69470272661496,102.98480640263867,miss,52,2,2,NA,NA,NA,0.14,NA,NA,NA,0,0.5,0,0,0,0,18.775,NA,1
5,2021-10-07,11:58:53,CHANGEPOINT,BLUE,0.86,6,2,18.775,1,53,0,1,1,138.69545943539018,154.288424886449,134.7989630021654,241.68026583802884,241,15,2,5.5,163.2989630021654,106.29896300216541,5,106.88130283586344,0,57,2,0,3,0,4,0,57,53,0.5,19.4894618842836,3.896496433224769,hit,NA,2,2,NA,NA,NA,0.14,NA,NA,NA,0.5,0.5,0,0,0,0,18.775,NA,0
5,2021-10-07,11:58:53,CHANGEPOINT,BLUE,0.86,6,2,18.775,1,54,0,2,0,138.69545943539018,141.57413571655854,166.74276115341888,134.7989630021654,955,15,3,5.5,181.24276115341888,152.24276115341888,6,31.943798151253475,0,29,2,0,3,0,4,0,29,54,0,25.16862543686034,28.047301718028706,miss,NA,2,2,NA,NA,NA,0.14,NA,NA,NA,0,0.5,0,0,0,0,18.775,NA,0
5,2021-10-07,11:58:53,CHANGEPOINT,BLUE,0.86,6,2,18.775,1,55,0,3,1,138.69545943539018,126.30800619901775,137.13691085375726,166.74276115341888,564,16,3,5.5,150.13691085375726,124.13691085375726,5,29.605850299661626,0,26,2,0,3,0,4,0,26,55,0.5,10.828904654739503,1.5585485816329196,hit,NA,2,2,NA,NA,NA,0.14,NA,NA,NA,0.5,0.5,0,0,0,0,18.775,NA,0
5,2021-10-07,11:58:53,CHANGEPOINT,BLUE,0.86,6,2,18.775,1,56,1,0,0,202.11864633535,186.78717525184234,135.39513704250749,137.13691085375726,1006,16,0,5.5,157.89513704250749,112.89513704250749,6,1.7417738112497716,0,45,2,0,3,0,3,0,45,56,0,51.392038209334856,66.72350929284252,miss,56,2,2,NA,NA,NA,0.14,NA,NA,NA,0,0.5,0,0,0,0,18.775,NA,1
5,2021-10-07,11:58:53,CHANGEPOINT,BLUE,0.86,6,2,18.775,1,57,0,1,0,202.11864633535,208.08235034966424,180.8636900445996,135.39513704250749,596,16,1,5.5,191.3636900445996,170.3636900445996,6,45.46855300209211,0,21,2,0,3,0,4,0,21,57,0,27.218660305064645,21.254956290750414,miss,NA,2,2,NA,NA,NA,0.14,NA,NA,NA,0,0.5,0,0,0,0,18.775,NA,0
5,2021-10-07,11:58:53,CHANGEPOINT,BLUE,0.86,6,2,18.775,1,58,0,2,1,202.11864633535,211.85855762100317,232.88313931672974,180.8636900445996,259,17,1,5.5,256.88313931672974,208.88313931672974,5,52.019449272130146,0,48,2,0,3,0,3,0,48,58,0.5,21.024581695726567,30.764492981379732,hit,NA,2,2,NA,NA,NA,0.14,NA,NA,NA,0.5,0.5,0,0,0,0,18.775,NA,0
5,2021-10-07,11:58:53,CHANGEPOINT,BLUE,0.86,6,2,18.775,1,59,0,3,0,202.11864633535,180.73188505697507,322.85984124766185,232.88313931672974,228,17,2,5.5,342.35984124766185,303.35984124766185,6,89.97670193093211,0,39,2,0,5,0,4,0,39,59,0,142.12795619068677,120.74119491231184,miss,NA,2,2,NA,NA,NA,0.14,NA,NA,NA,0,0.5,0,0,0,0,18.775,NA,0
